Frame;Time(s);FPS;FrameTimeMs;MonoRamMB;AllocatedRamMB;ReservedRamMB
1;0,00;0,30;3375,59;691,20;871,68;1554,35
2;0,02;0,42;2367,26;692,23;897,32;1554,35
3;0,07;0,42;2367,26;692,32;897,30;1554,35
4;0,08;0,42;2367,26;692,32;897,50;1554,35
5;0,09;0,42;2367,26;692,32;897,51;1554,35
6;0,10;0,42;2367,26;692,32;897,51;1554,35
7;0,10;0,42;2367,26;692,32;897,51;1554,35
8;0,11;0,42;2367,26;692,32;897,51;1554,35
9;0,12;0,42;2367,26;692,32;897,51;1554,35
10;0,12;0,42;2367,26;692,32;897,50;1554,35
11;0,13;0,42;2367,26;692,32;897,50;1554,35
12;0,14;0,42;2367,26;692,32;897,50;1554,35
13;0,14;0,42;2367,26;692,32;897,50;1554,35
14;0,15;0,42;2367,26;692,32;897,50;1554,35
15;0,16;0,42;2367,26;692,32;897,50;1554,35
16;0,16;0,42;2367,26;692,32;897,50;1554,35
17;0,17;0,42;2367,26;692,32;897,50;1554,35
18;0,18;0,42;2367,26;692,32;897,51;1554,35
19;0,18;0,42;2367,26;692,32;897,51;1554,35
20;0,19;0,42;2367,26;692,32;897,34;1554,35
21;0,20;0,42;2367,26;692,32;897,35;1554,35
22;0,20;0,42;2367,26;692,32;897,35;1554,35
23;0,21;0,42;2367,26;692,32;897,35;1554,35
24;0,22;0,42;2367,26;692,32;897,36;1554,35
25;0,22;0,42;2367,26;692,32;897,36;1554,35
26;0,23;0,42;2367,26;692,32;897,36;1554,35
27;0,24;0,42;2367,26;692,32;897,36;1554,35
28;0,24;0,42;2367,26;692,32;897,36;1554,35
29;0,25;0,42;2367,26;692,32;897,36;1554,35
30;0,26;0,42;2367,26;692,32;897,36;1554,35
31;0,26;0,42;2367,26;692,32;897,36;1554,35
32;0,27;0,42;2367,26;692,32;897,36;1554,35
33;0,27;0,42;2367,26;692,32;897,36;1554,35
34;0,28;0,42;2367,26;692,32;897,36;1554,35
35;0,29;0,42;2367,26;692,32;897,37;1554,35
36;0,30;0,42;2367,26;692,32;897,37;1554,35
37;0,32;0,42;2367,26;692,32;897,44;1554,35
38;0,33;0,42;2367,26;692,32;897,45;1554,35
39;0,33;0,42;2367,26;692,32;897,46;1554,35
40;0,34;0,42;2367,26;692,32;897,46;1554,35
41;0,35;0,42;2367,26;692,32;897,46;1554,35
42;0,35;119,61;8,36;692,32;897,46;1554,35
43;0,36;119,61;8,36;692,32;897,46;1554,35
44;0,37;119,61;8,36;692,32;897,46;1554,35
45;0,38;119,61;8,36;692,32;897,46;1554,35
46;0,38;119,61;8,36;692,32;897,46;1554,35
47;0,39;119,61;8,36;692,32;897,47;1554,35
48;0,40;119,61;8,36;692,32;897,47;1554,35
49;0,40;119,61;8,36;692,32;897,47;1554,35
50;0,41;119,61;8,36;692,32;897,47;1554,35
51;0,42;119,61;8,36;692,32;897,47;1554,35
52;0,43;119,61;8,36;692,32;897,51;1554,35
53;0,44;119,61;8,36;692,32;897,52;1554,35
54;0,44;119,61;8,36;692,32;897,48;1554,35
55;0,45;119,61;8,36;692,32;897,48;1554,35
56;0,46;119,61;8,36;692,32;897,48;1554,35
57;0,46;119,61;8,36;692,32;897,48;1554,35
58;0,47;119,61;8,36;692,32;897,48;1554,35
59;0,48;119,61;8,36;692,32;897,48;1554,35
60;0,48;119,61;8,36;692,32;897,48;1554,35
61;0,49;119,61;8,36;692,32;897,48;1554,35
62;0,50;119,61;8,36;692,32;897,48;1554,35
63;0,50;119,61;8,36;692,32;897,48;1554,35
64;0,51;119,61;8,36;692,32;897,48;1554,35
65;0,52;119,61;8,36;692,32;897,49;1554,35
66;0,52;119,61;8,36;692,32;897,49;1554,35
67;0,53;119,61;8,36;692,32;897,49;1554,35
68;0,54;119,61;8,36;692,32;897,49;1554,35
69;0,54;119,61;8,36;692,32;897,49;1554,35
70;0,55;119,61;8,36;692,32;897,49;1554,35
71;0,56;119,61;8,36;692,32;897,49;1554,35
72;0,56;119,61;8,36;692,32;897,49;1554,35
73;0,57;119,61;8,36;692,32;897,49;1554,35
74;0,58;119,61;8,36;692,32;897,49;1554,35
75;0,58;119,61;8,36;692,32;897,49;1554,35
76;0,59;119,61;8,36;692,32;897,49;1554,35
77;0,60;119,61;8,36;692,32;897,50;1554,35
78;0,60;119,61;8,36;692,32;897,50;1554,35
79;0,61;119,61;8,36;692,32;897,50;1554,35
80;0,62;119,61;8,36;692,32;897,50;1554,35
81;0,62;119,61;8,36;692,32;897,50;1554,35
82;0,63;119,61;8,36;692,32;897,50;1554,35
83;0,64;119,61;8,36;692,32;897,50;1554,35
84;0,65;119,61;8,36;692,32;897,50;1554,35
85;0,65;119,61;8,36;692,32;897,50;1554,35
86;0,66;119,61;8,36;692,32;897,50;1554,35
87;0,67;119,61;8,36;692,32;897,50;1554,35
88;0,68;119,61;8,36;692,32;897,51;1554,35
89;0,68;119,61;8,36;692,32;897,51;1554,35
90;0,69;142,31;7,03;692,32;897,51;1554,35
