Frame;Time(s);FPS;FrameTimeMs;MonoRamMB;AllocatedRamMB;ReservedRamMB
1;0,00;0,28;3515,97;690,55;875,09;1570,35
2;0,02;0,39;2594,24;692,04;916,35;1570,35
3;0,16;0,39;2594,24;692,51;916,82;1570,35
4;0,20;0,39;2594,24;707,45;903,16;1570,35
5;0,28;0,39;2594,24;707,77;904,35;1570,35
6;0,31;0,39;2594,24;707,77;918,80;1570,35
7;0,33;0,39;2594,24;707,77;918,90;1570,35
8;0,40;15,97;62,61;722,27;918,99;1570,35
9;0,41;15,97;62,61;722,27;904,49;1570,35
10;0,43;15,97;62,61;722,27;918,85;1570,35
11;0,46;15,97;62,61;722,27;918,85;1570,35
12;0,48;15,97;62,61;722,27;918,85;1570,35
13;0,54;15,97;62,61;722,27;919,02;1570,35
14;0,56;15,97;62,61;736,78;914,07;1570,35
15;0,61;15,97;62,61;736,78;904,42;1570,35
16;0,62;15,97;62,61;736,78;918,93;1570,35
17;0,64;15,97;62,61;736,78;918,93;1570,35
18;0,69;15,97;62,61;736,78;919,08;1570,35
19;0,75;30,99;32,27;736,78;919,09;1570,35
20;0,77;30,99;32,27;751,29;904,60;1570,35
21;0,82;30,99;32,27;751,29;904,50;1570,35
22;0,84;30,99;32,27;751,29;919,17;1570,35
23;0,90;30,99;32,27;751,29;919,17;1570,35
24;0,91;30,99;32,27;751,29;919,18;1570,35
25;0,97;30,99;32,27;751,29;914,24;1570,35
26;0,99;30,99;32,27;760,96;909,41;1570,35
27;1,03;30,99;32,27;760,96;909,58;1570,35
28;1,05;30,99;32,27;760,96;919,14;1570,35
29;1,11;27,53;36,32;760,96;919,15;1570,35
30;1,14;27,53;36,32;765,80;914,32;1570,35
31;1,16;27,53;36,32;765,80;914,32;1570,35
32;1,19;27,53;36,32;775,47;919,32;1570,35
33;1,25;27,53;36,32;775,47;909,65;1570,35
34;1,27;27,53;36,32;775,47;919,32;1570,35
35;1,32;27,53;36,32;775,47;919,22;1570,35
36;1,36;27,53;36,32;780,30;914,56;1570,35
37;1,41;27,53;36,32;780,30;914,56;1570,35
38;1,44;27,53;36,32;789,98;909,62;1570,35
39;1,49;26,87;37,21;789,98;909,63;1570,35
40;1,52;26,87;37,21;789,98;919,47;1570,35
41;1,55;26,87;37,21;789,98;914,52;1570,35
42;1,57;26,87;37,21;789,98;919,37;1570,35
43;1,63;26,87;37,21;789,98;919,37;1570,35
44;1,68;26,87;37,21;696,76;909,61;1570,35
45;1,70;26,87;37,21;696,76;898,32;1570,35
46;1,72;26,87;37,21;696,76;912,83;1570,35
47;1,77;26,87;37,21;696,76;912,83;1570,35
48;1,79;26,87;37,21;696,76;912,83;1570,35
49;1,80;26,87;37,21;696,76;907,90;1570,35
50;1,85;30,57;32,71;706,43;912,73;1570,35
51;1,90;30,57;32,71;706,43;903,23;1570,35
52;1,92;30,57;32,71;706,44;912,90;1570,35
53;1,97;30,57;32,71;706,44;912,80;1570,35
54;2,00;30,57;32,71;711,29;907,97;1570,35
55;2,03;30,57;32,71;711,30;908,14;1570,35
56;2,05;30,57;32,71;720,99;912,98;1570,35
57;2,10;30,57;32,71;720,99;903,31;1570,35
58;2,12;30,57;32,71;721,00;912,98;1570,35
59;2,13;30,57;32,71;721,00;912,98;1570,35
60;2,17;30,57;32,71;725,86;908,03;1570,35
61;2,23;28,43;35,18;725,86;908,21;1570,35
62;2,25;28,43;35,18;735,55;913,05;1570,35
63;2,33;28,43;35,18;735,55;903,29;1570,35
64;2,37;28,43;35,18;740,41;913,13;1570,35
65;2,38;28,43;35,18;740,41;908,30;1570,35
66;2,40;28,43;35,18;740,43;913,13;1570,35
67;2,43;28,43;35,18;740,43;913,03;1570,35
68;2,45;28,43;35,18;750,11;903,37;1570,35
69;2,47;28,43;35,18;750,11;898,54;1570,35
70;2,51;28,43;35,18;750,13;913,04;1570,35
71;2,56;28,43;35,18;750,14;913,18;1570,35
72;2,58;31,90;31,35;750,15;913,20;1570,35
73;2,63;31,90;31,35;750,15;913,20;1570,35
74;2,66;31,90;31,35;764,68;898,70;1570,35
75;2,69;31,90;31,35;764,68;898,77;1570,35
76;2,77;31,90;31,35;764,70;913,29;1570,35
77;2,78;31,90;31,35;764,70;913,29;1570,35
78;2,80;31,90;31,35;769,55;913,16;1570,35
79;2,81;31,90;31,35;769,55;908,35;1570,35
80;2,90;31,90;31,35;779,25;908,57;1570,35
81;2,96;23,64;42,31;779,25;903,60;1570,35
82;2,98;23,64;42,31;784,10;913,26;1570,35
83;3,00;23,64;42,31;784,10;908,64;1570,35
84;3,05;23,64;42,31;793,79;913,32;1570,35
