Frame;Time(s);FPS;FrameTimeMs;MonoRamMB;AllocatedRamMB;ReservedRamMB
1;0,00;0,30;3334,32;689,44;861,88;1570,35
2;0,02;0,38;2628,71;691,13;894,50;1570,35
3;0,12;0,38;2628,71;691,14;894,34;1570,35
4;0,14;0,38;2628,71;697,96;887,60;1570,35
5;0,15;0,38;2628,71;697,96;887,61;1570,35
6;0,17;0,38;2628,71;697,96;894,43;1570,35
7;0,21;0,38;2628,71;697,96;894,36;1570,35
8;0,22;0,38;2628,71;697,96;894,37;1570,35
9;0,23;0,38;2628,71;697,96;894,37;1570,35
10;0,28;0,38;2628,71;704,79;894,36;1570,35
11;0,29;0,38;2628,71;704,79;887,54;1570,35
12;0,34;0,38;2628,71;704,79;894,36;1570,35
13;0,35;0,38;2628,71;704,79;894,36;1570,35
14;0,39;32,04;31,21;704,79;894,36;1570,35
15;0,41;32,04;31,21;704,79;894,37;1570,35
16;0,45;32,04;31,21;711,61;894,36;1570,35
17;0,47;32,04;31,21;711,61;887,55;1570,35
18;0,49;32,04;31,21;711,61;894,37;1570,35
19;0,51;32,04;31,21;711,61;894,37;1570,35
20;0,53;32,04;31,21;711,61;894,37;1570,35
21;0,54;32,04;31,21;711,61;894,37;1570,35
22;0,57;32,04;31,21;718,44;894,35;1570,35
23;0,58;32,04;31,21;718,44;887,55;1570,35
24;0,61;32,04;31,21;718,44;894,37;1570,35
25;0,62;32,04;31,21;718,44;894,38;1570,35
26;0,65;32,04;31,21;718,44;894,38;1570,35
27;0,68;32,04;31,21;718,44;894,38;1570,35
28;0,70;32,04;31,21;725,26;894,36;1570,35
29;0,71;32,04;31,21;725,26;887,56;1570,35
30;0,73;47,89;20,88;725,26;894,38;1570,35
31;0,74;47,89;20,88;725,26;894,38;1570,35
32;0,76;47,89;20,88;725,26;894,38;1570,35
33;0,77;47,89;20,88;725,26;894,38;1570,35
34;0,79;47,89;20,88;732,09;894,37;1570,35
35;0,80;47,89;20,88;732,09;887,56;1570,35
36;0,83;47,89;20,88;732,09;894,38;1570,35
37;0,84;47,89;20,88;732,09;894,39;1570,35
38;0,86;47,89;20,88;732,09;894,39;1570,35
39;0,89;47,89;20,88;732,09;894,39;1570,35
40;0,91;47,89;20,88;738,91;894,39;1570,35
41;0,93;47,89;20,88;738,91;887,57;1570,35
42;0,95;47,89;20,88;738,91;894,39;1570,35
43;0,95;47,89;20,88;738,91;894,39;1570,35
44;0,97;47,89;20,88;738,91;894,39;1570,35
45;0,98;47,89;20,88;738,91;894,39;1570,35
46;1,01;47,89;20,88;745,73;894,40;1570,35
47;1,03;47,89;20,88;745,73;887,58;1570,35
48;1,05;47,89;20,88;745,73;894,40;1570,35
49;1,06;47,89;20,88;745,73;894,40;1570,35
50;1,13;50,36;19,86;745,84;894,45;1570,35
51;1,15;50,36;19,86;745,84;894,46;1570,35
52;1,16;50,36;19,86;752,66;887,64;1570,35
53;1,17;50,36;19,86;752,66;887,64;1570,35
54;1,18;50,36;19,86;752,66;894,46;1570,35
55;1,19;50,36;19,86;752,66;894,40;1570,35
56;1,20;50,36;19,86;752,66;894,41;1570,35
57;1,21;50,36;19,86;752,66;894,42;1570,35
58;1,25;50,36;19,86;759,48;894,41;1570,35
59;1,28;50,36;19,86;759,48;887,59;1570,35
60;1,29;50,36;19,86;759,48;894,42;1570,35
61;1,33;50,36;19,86;759,48;894,42;1570,35
62;1,34;50,36;19,86;759,48;894,42;1570,35
63;1,36;50,36;19,86;759,48;894,42;1570,35
64;1,37;50,36;19,86;766,31;894,42;1570,35
65;1,39;50,36;19,86;766,31;887,65;1570,35
66;1,43;50,36;19,86;766,31;894,48;1570,35
67;1,44;50,36;19,86;766,31;894,41;1570,35
68;1,46;50,36;19,86;766,31;894,43;1570,35
69;1,47;55,65;17,97;766,31;894,43;1570,35
70;1,48;55,65;17,97;773,13;894,43;1570,35
