Frame;Time(s);FPS;FrameTimeMs
68;1,09;61,56;16,24
69;1,12;61,56;16,24
70;1,15;61,56;16,24
71;1,16;61,56;16,24
72;1,18;61,56;16,24
73;1,20;61,56;16,24
74;1,20;61,56;16,24
75;1,22;61,56;16,24
76;1,22;61,56;16,24
77;1,25;61,56;16,24
78;1,26;61,56;16,24
79;1,28;61,56;16,24
80;1,31;61,56;16,24
81;1,33;61,56;16,24
82;1,34;61,56;16,24
83;1,35;61,56;16,24
84;1,36;61,56;16,24
85;1,38;61,56;16,24
86;1,39;61,56;16,24
87;1,41;61,56;16,24
88;1,42;61,56;16,24
89;1,45;59,87;16,70
90;1,48;59,87;16,70
91;1,49;59,87;16,70
92;1,51;59,87;16,70
93;1,52;59,87;16,70
94;1,53;59,87;16,70
95;1,54;59,87;16,70
96;1,55;59,87;16,70
97;1,57;59,87;16,70
98;1,58;59,87;16,70
99;1,61;59,87;16,70
100;1,64;59,87;16,70
101;1,66;59,87;16,70
102;1,67;59,87;16,70
103;1,69;59,87;16,70
104;1,69;59,87;16,70
105;1,71;59,87;16,70
106;1,72;59,87;16,70
107;1,75;59,87;16,70
108;1,76;59,87;16,70
109;1,78;59,71;16,75
110;1,81;59,71;16,75
111;1,82;59,71;16,75
112;1,84;59,71;16,75
113;1,85;59,71;16,75
114;1,86;59,71;16,75
115;1,88;59,71;16,75
116;1,89;59,71;16,75
117;1,91;59,71;16,75
118;1,92;59,71;16,75
119;1,95;59,71;16,75
120;1,98;59,71;16,75
121;1,99;59,71;16,75
122;2,01;59,71;16,75
123;2,03;59,71;16,75
124;2,03;59,71;16,75
125;2,04;59,71;16,75
126;2,05;59,71;16,75
127;2,08;59,71;16,75
128;2,09;59,71;16,75
129;2,11;59,71;16,75
130;2,14;58,99;16,95
131;2,17;58,99;16,95
132;2,18;58,99;16,95
133;2,19;58,99;16,95
134;2,20;58,99;16,95
135;2,21;58,99;16,95
136;2,22;58,99;16,95
137;2,24;58,99;16,95
138;2,25;58,99;16,95
139;2,28;58,99;16,95
140;2,30;58,99;16,95
141;2,32;58,99;16,95
142;2,33;58,99;16,95
143;2,34;58,99;16,95
144;2,35;58,99;16,95
145;2,38;58,99;16,95
146;2,38;58,99;16,95
147;2,39;58,99;16,95
148;2,40;58,99;16,95
149;2,43;58,99;16,95
150;2,45;58,99;16,95
151;2,46;58,99;16,95
152;2,48;63,59;15,72
153;2,49;63,59;15,72
154;2,50;63,59;15,72
155;2,51;63,59;15,72
156;2,52;63,59;15,72
157;2,55;63,59;15,72
158;2,56;63,59;15,72
159;2,58;63,59;15,72
160;2,59;63,59;15,72
161;2,61;63,59;15,72
162;2,63;63,59;15,72
163;2,64;63,59;15,72
164;2,66;63,59;15,72
165;2,68;63,59;15,72
166;2,69;63,59;15,72
167;2,69;63,59;15,72
168;2,70;63,59;15,72
169;2,72;63,59;15,72
170;2,73;63,59;15,72
171;2,76;63,59;15,72
172;2,78;63,59;15,72
173;2,79;63,59;15,72
174;2,81;63,59;15,72
175;2,82;67,07;14,91
176;2,83;67,07;14,91
177;2,84;67,07;14,91
178;2,85;67,07;14,91
179;2,87;67,07;14,91
180;2,88;67,07;14,91
181;2,90;67,07;14,91
182;2,91;67,07;14,91
183;2,94;67,07;14,91
184;2,96;67,07;14,91
185;2,97;67,07;14,91
186;2,99;67,07;14,91
187;3,00;67,07;14,91
188;3,00;67,07;14,91
189;3,02;67,07;14,91
190;3,03;67,07;14,91
191;3,05;67,07;14,91
192;3,06;67,07;14,91
193;3,08;67,07;14,91
194;3,22;48,21;20,74
195;3,28;48,21;20,74
196;3,30;48,21;20,74
197;3,32;48,21;20,74
198;3,33;48,21;20,74
199;3,33;48,21;20,74
200;3,34;48,21;20,74
201;3,35;48,21;20,74
202;3,36;48,21;20,74
203;3,38;48,21;20,74
204;3,38;48,21;20,74
205;3,40;48,21;20,74
206;3,41;48,21;20,74
207;3,44;48,21;20,74
208;3,46;48,21;20,74
209;3,48;48,21;20,74
210;3,49;48,21;20,74
211;3,50;48,21;20,74
212;3,51;48,21;20,74
213;3,52;48,21;20,74
214;3,53;48,21;20,74
215;3,55;48,21;20,74
216;3,56;64,33;15,55
217;3,58;64,33;15,55
218;3,59;64,33;15,55
219;3,62;64,33;15,55
220;3,64;64,33;15,55
221;3,65;64,33;15,55
222;3,67;64,33;15,55
223;3,68;64,33;15,55
224;3,69;64,33;15,55
225;3,70;64,33;15,55
226;3,71;64,33;15,55
227;3,73;64,33;15,55
228;3,74;64,33;15,55
229;3,76;64,33;15,55
230;3,79;64,33;15,55
231;3,80;64,33;15,55
232;3,81;64,33;15,55
233;3,82;64,33;15,55
234;3,83;64,33;15,55
235;3,85;64,33;15,55
236;3,86;64,33;15,55
237;3,88;64,33;15,55
238;3,89;64,33;15,55
239;3,91;66,70;14,99
240;3,92;66,70;14,99
241;3,94;66,70;14,99
242;3,99;66,70;14,99
243;4,01;66,70;14,99
244;4,02;66,70;14,99
245;4,03;66,70;14,99
246;4,04;66,70;14,99
247;4,07;66,70;14,99
248;4,07;66,70;14,99
249;4,08;66,70;14,99
250;4,10;66,70;14,99
251;4,11;66,70;14,99
252;4,12;66,70;14,99
253;4,14;66,70;14,99
254;4,15;66,70;14,99
255;4,16;66,70;14,99
256;4,17;66,70;14,99
257;4,18;66,70;14,99
258;4,19;66,70;14,99
259;4,21;66,70;14,99
260;4,22;66,70;14,99
261;4,25;64,79;15,43
262;4,27;64,79;15,43
263;4,28;64,79;15,43
264;4,30;64,79;15,43
265;4,32;64,79;15,43
266;4,33;64,79;15,43
267;4,34;64,79;15,43
268;4,34;64,79;15,43
269;4,36;64,79;15,43
270;4,37;64,79;15,43
271;4,39;64,79;15,43
272;4,40;64,79;15,43
273;4,43;64,79;15,43
274;4,45;64,79;15,43
275;4,46;64,79;15,43
276;4,48;64,79;15,43
277;4,49;64,79;15,43
278;4,50;64,79;15,43
279;4,51;64,79;15,43
280;4,52;64,79;15,43
281;4,54;64,79;15,43
282;4,55;64,79;15,43
283;4,56;64,79;15,43
284;4,59;66,52;15,03
285;4,60;66,52;15,03
286;4,62;66,52;15,03
287;4,63;66,52;15,03
288;4,64;66,52;15,03
289;4,65;66,52;15,03
290;4,66;66,52;15,03
291;4,68;66,52;15,03
292;4,69;66,52;15,03
293;4,71;66,52;15,03
294;4,72;66,52;15,03
295;4,75;66,52;15,03
296;4,77;66,52;15,03
297;4,78;66,52;15,03
298;4,79;66,52;15,03
299;4,80;66,52;15,03
300;4,81;66,52;15,03
301;4,82;66,52;15,03
302;4,83;66,52;15,03
303;4,85;66,52;15,03
304;4,86;66,52;15,03
305;4,88;66,52;15,03
306;4,91;66,52;15,03
307;4,92;66,52;15,03
308;4,93;69,88;14,31
309;4,95;69,88;14,31
310;4,96;69,88;14,31
311;4,96;69,88;14,31
312;4,97;69,88;14,31
313;4,99;69,88;14,31
314;5,01;69,88;14,31
315;5,03;69,88;14,31
316;5,04;69,88;14,31
317;5,06;69,88;14,31
318;5,08;69,88;14,31
319;5,09;69,88;14,31
320;5,11;69,88;14,31
321;5,13;69,88;14,31
322;5,13;69,88;14,31
323;5,14;69,88;14,31
324;5,15;69,88;14,31
325;5,17;69,88;14,31
326;5,17;69,88;14,31
327;5,20;69,88;14,31
328;5,22;69,88;14,31
329;5,24;69,88;14,31
330;5,25;69,88;14,31
331;5,26;69,88;14,31
332;5,27;69,88;14,31
333;5,28;72,38;13,82
334;5,29;72,38;13,82
335;5,31;72,38;13,82
336;5,32;72,38;13,82
337;5,34;72,38;13,82
338;5,35;72,38;13,82
339;5,37;72,38;13,82
340;5,39;72,38;13,82
341;5,40;72,38;13,82
342;5,42;72,38;13,82
343;5,43;72,38;13,82
344;5,44;72,38;13,82
345;5,45;72,38;13,82
346;5,46;72,38;13,82
347;5,48;72,38;13,82
348;5,49;72,38;13,82
349;5,51;72,38;13,82
350;5,52;72,38;13,82
351;5,55;72,38;13,82
352;5,58;72,38;13,82
353;5,59;72,38;13,82
354;5,61;72,38;13,82
355;5,63;62,75;15,94
356;5,67;62,75;15,94
357;5,68;62,75;15,94
358;5,70;62,75;15,94
359;5,72;62,75;15,94
360;5,74;62,75;15,94
361;5,75;62,75;15,94
362;5,76;62,75;15,94
363;5,77;62,75;15,94
364;5,79;62,75;15,94
365;5,81;62,75;15,94
366;5,82;62,75;15,94
367;5,83;62,75;15,94
368;5,83;62,75;15,94
369;5,84;62,75;15,94
370;5,87;62,75;15,94
371;5,91;62,75;15,94
372;5,92;62,75;15,94
373;5,93;62,75;15,94
374;5,94;62,75;15,94
375;5,97;59,58;16,78
376;5,98;59,58;16,78
377;5,99;59,58;16,78
378;6,00;59,58;16,78
379;6,03;59,58;16,78
380;6,04;59,58;16,78
381;6,06;59,58;16,78
382;6,07;59,58;16,78
383;6,07;59,58;16,78
384;6,09;59,58;16,78
385;6,12;59,58;16,78
386;6,13;59,58;16,78
387;6,15;59,58;16,78
388;6,16;59,58;16,78
389;6,16;59,58;16,78
390;6,18;59,58;16,78
391;6,21;59,58;16,78
392;6,22;59,58;16,78
393;6,23;59,58;16,78
394;6,24;59,58;16,78
395;6,25;59,58;16,78
396;6,26;59,58;16,78
397;6,27;59,58;16,78
398;6,27;59,58;16,78
399;6,29;59,58;16,78
400;6,29;59,58;16,78
401;6,31;74,61;13,40
402;6,32;74,61;13,40
403;6,35;74,61;13,40
404;6,38;74,61;13,40
405;6,39;74,61;13,40
406;6,40;74,61;13,40
407;6,41;74,61;13,40
408;6,41;74,61;13,40
409;6,43;74,61;13,40
410;6,43;74,61;13,40
411;6,45;74,61;13,40
412;6,45;74,61;13,40
413;6,48;74,61;13,40
414;6,49;74,61;13,40
415;6,52;74,61;13,40
416;6,53;74,61;13,40
417;6,56;74,61;13,40
418;6,56;74,61;13,40
419;6,57;74,61;13,40
420;6,57;74,61;13,40
421;6,59;74,61;13,40
422;6,59;74,61;13,40
423;6,62;74,61;13,40
424;6,62;74,61;13,40
425;6,65;71,19;14,05
426;6,67;71,19;14,05
427;6,70;71,19;14,05
428;6,70;71,19;14,05
429;6,71;71,19;14,05
430;6,72;71,19;14,05
431;6,73;71,19;14,05
432;6,73;71,19;14,05
433;6,76;71,19;14,05
434;6,76;71,19;14,05
435;6,78;71,19;14,05
