Frame;Time(s);FPS;FrameTimeMs
52;1,92;27,97;35,76
53;1,92;27,97;35,76
54;1,98;27,97;35,76
55;1,99;27,97;35,76
56;2,06;27,97;35,76
57;2,07;27,97;35,76
58;2,14;27,97;35,76
59;2,15;27,97;35,76
60;2,22;27,97;35,76
61;2,23;27,97;35,76
62;2,30;26,19;38,19
63;2,31;26,19;38,19
64;2,39;26,19;38,19
65;2,40;26,19;38,19
66;2,45;26,19;38,19
67;2,47;26,19;38,19
68;2,53;26,19;38,19
69;2,55;26,19;38,19
70;2,61;26,19;38,19
71;2,62;26,19;38,19
72;2,68;26,21;38,16
73;2,69;26,21;38,16
74;2,75;26,21;38,16
75;2,76;26,21;38,16
76;2,83;26,21;38,16
77;2,84;26,21;38,16
78;2,90;26,21;38,16
79;2,91;26,21;38,16
80;2,97;26,21;38,16
81;2,98;26,21;38,16
82;3,04;27,48;36,39
83;3,06;27,48;36,39
84;3,11;27,48;36,39
85;3,24;27,48;36,39
86;3,35;27,48;36,39
87;3,36;27,48;36,39
88;3,39;17,44;57,33
89;3,40;17,44;57,33
90;3,42;17,44;57,33
91;3,43;17,44;57,33
92;3,47;17,44;57,33
93;3,48;17,44;57,33
94;3,53;17,44;57,33
95;3,54;17,44;57,33
96;3,61;17,44;57,33
97;3,62;17,44;57,33
98;3,68;17,44;57,33
99;3,69;17,44;57,33
100;3,75;33,27;30,06
101;3,76;33,27;30,06
102;3,82;33,27;30,06
103;3,84;33,27;30,06
104;3,90;33,27;30,06
105;3,91;33,27;30,06
106;3,97;33,27;30,06
107;3,98;33,27;30,06
108;4,03;33,27;30,06
109;4,04;33,27;30,06
110;4,11;27,98;35,74
111;4,12;27,98;35,74
112;4,17;27,98;35,74
113;4,18;27,98;35,74
114;4,24;27,98;35,74
115;4,25;27,98;35,74
116;4,32;27,98;35,74
117;4,33;27,98;35,74
118;4,39;27,98;35,74
119;4,40;27,98;35,74
120;4,46;28,19;35,47
121;4,47;28,19;35,47
122;4,53;28,19;35,47
123;4,54;28,19;35,47
124;4,60;28,19;35,47
125;4,61;28,19;35,47
126;4,66;28,19;35,47
127;4,68;28,19;35,47
128;4,74;28,19;35,47
129;4,76;28,19;35,47
130;4,82;27,76;36,02
131;4,84;27,76;36,02
132;4,88;27,76;36,02
133;4,89;27,76;36,02
134;4,95;27,76;36,02
135;4,96;27,76;36,02
136;5,01;27,76;36,02
137;5,02;27,76;36,02
138;5,08;27,76;36,02
139;5,09;27,76;36,02
140;5,15;27,76;36,02
141;5,16;32,25;31,00
142;5,21;32,25;31,00
143;5,23;32,25;31,00
144;5,28;32,25;31,00
145;5,29;32,25;31,00
146;5,35;32,25;31,00
147;5,37;32,25;31,00
148;5,42;32,25;31,00
149;5,43;32,25;31,00
150;5,49;32,25;31,00
151;5,50;29,54;33,85
152;5,56;29,54;33,85
153;5,57;29,54;33,85
154;5,62;29,54;33,85
155;5,64;29,54;33,85
156;5,69;29,54;33,85
157;5,71;29,54;33,85
158;5,76;29,54;33,85
159;5,77;29,54;33,85
160;5,82;29,54;33,85
161;5,84;29,73;33,64
162;5,90;29,73;33,64
163;5,91;29,73;33,64
164;5,96;29,73;33,64
165;5,98;29,73;33,64
166;6,03;29,73;33,64
167;6,04;29,73;33,64
168;6,10;29,73;33,64
169;6,11;29,73;33,64
170;6,16;29,73;33,64
171;6,18;29,44;33,97
172;6,23;29,44;33,97
173;6,24;29,44;33,97
174;6,31;29,44;33,97
175;6,32;29,44;33,97
176;6,38;29,44;33,97
177;6,40;29,44;33,97
178;6,43;29,44;33,97
179;6,45;29,44;33,97
180;6,50;29,44;33,97
181;6,52;29,42;33,99
182;6,57;29,42;33,99
183;6,58;29,42;33,99
184;6,63;29,42;33,99
185;6,64;29,42;33,99
186;6,70;29,42;33,99
187;6,72;29,42;33,99
188;6,77;29,42;33,99
189;6,78;29,42;33,99
190;6,83;29,42;33,99
191;6,85;29,97;33,37
192;6,90;29,97;33,37
193;6,91;29,97;33,37
194;6,97;29,97;33,37
195;6,99;29,97;33,37
196;7,03;29,97;33,37
197;7,05;29,97;33,37
198;7,10;29,97;33,37
199;7,11;29,97;33,37
200;7,17;29,97;33,37
201;7,19;29,51;33,89
202;7,23;29,51;33,89
203;7,25;29,51;33,89
204;7,30;29,51;33,89
205;7,32;29,51;33,89
206;7,37;29,51;33,89
207;7,38;29,51;33,89
208;7,43;29,51;33,89
209;7,45;29,51;33,89
210;7,50;29,51;33,89
211;7,51;29,51;33,89
212;7,56;29,26;34,18
213;7,58;29,26;34,18
214;7,63;29,26;34,18
215;7,65;29,26;34,18
216;7,70;29,26;34,18
217;7,72;29,26;34,18
218;7,79;29,26;34,18
219;7,81;29,26;34,18
220;7,83;29,26;34,18
221;7,85;29,26;34,18
222;7,89;29,26;34,18
223;7,91;31,52;31,72
224;7,96;31,52;31,72
225;7,98;31,52;31,72
226;8,02;31,52;31,72
227;8,04;31,52;31,72
228;8,09;31,52;31,72
229;8,11;31,52;31,72
230;8,16;31,52;31,72
231;8,18;31,52;31,72
232;8,22;31,52;31,72
233;8,24;31,52;31,72
234;8,29;29,28;34,15
235;8,31;29,28;34,15
236;8,36;29,28;34,15
237;8,37;29,28;34,15
238;8,42;29,28;34,15
239;8,43;29,28;34,15
240;8,49;29,28;34,15
241;8,50;29,28;34,15
242;8,55;29,28;34,15
243;8,57;29,28;34,15
244;8,62;29,28;34,15
245;8,63;32,06;31,19
246;8,68;32,06;31,19
247;8,69;32,06;31,19
248;8,75;32,06;31,19
249;8,76;32,06;31,19
250;8,81;32,06;31,19
251;8,83;32,06;31,19
252;8,88;32,06;31,19
253;8,90;32,06;31,19
254;8,95;32,06;31,19
255;8,97;29,98;33,36
256;9,01;29,98;33,36
257;9,02;29,98;33,36
258;9,08;29,98;33,36
259;9,09;29,98;33,36
260;9,15;29,98;33,36
261;9,18;29,98;33,36
262;9,22;29,98;33,36
263;9,24;29,98;33,36
264;9,27;29,98;33,36
265;9,29;29,98;33,36
266;9,34;29,56;33,83
267;9,36;29,56;33,83
268;9,40;29,56;33,83
269;9,42;29,56;33,83
270;9,47;29,56;33,83
271;9,48;29,56;33,83
272;9,53;29,56;33,83
273;9,55;29,56;33,83
274;9,59;29,56;33,83
275;9,61;29,56;33,83
276;9,66;29,56;33,83
277;9,68;32,45;30,81
278;9,73;32,45;30,81
279;9,74;32,45;30,81
280;9,79;32,45;30,81
281;9,81;32,45;30,81
282;9,86;32,45;30,81
283;9,88;32,45;30,81
284;9,92;32,45;30,81
285;9,94;32,45;30,81
286;9,98;32,45;30,81
287;10,00;32,45;30,81
288;10,05;29,53;33,86
289;10,07;29,53;33,86
290;10,12;29,53;33,86
291;10,13;29,53;33,86
292;10,18;29,53;33,86
293;10,19;29,53;33,86
294;10,24;29,53;33,86
295;10,26;29,53;33,86
296;10,31;29,53;33,86
297;10,33;29,53;33,86
298;10,37;29,53;33,86
299;10,39;32,01;31,24
300;10,44;32,01;31,24
301;10,46;32,01;31,24
302;10,51;32,01;31,24
303;10,53;32,01;31,24
304;10,57;32,01;31,24
305;10,59;32,01;31,24
306;10,65;32,01;31,24
307;10,67;32,01;31,24
308;10,72;32,01;31,24
309;10,74;29,14;34,32
310;10,76;29,14;34,32
311;10,78;29,14;34,32
312;10,84;29,14;34,32
313;10,85;29,14;34,32
314;10,89;29,14;34,32
315;10,91;29,14;34,32
316;10,95;29,14;34,32
317;10,97;29,14;34,32
318;11,03;29,14;34,32
319;11,05;29,14;34,32
320;11,09;31,27;31,97
321;11,11;31,27;31,97
322;11,15;31,27;31,97
323;11,17;31,27;31,97
324;11,22;31,27;31,97
325;11,23;31,27;31,97
326;11,28;31,27;31,97
327;11,30;31,27;31,97
328;11,34;31,27;31,97
329;11,36;31,27;31,97
330;11,41;31,27;31,97
331;11,43;32,38;30,88
332;11,49;32,38;30,88
333;11,50;32,38;30,88
334;11,54;32,38;30,88
335;11,56;32,38;30,88
336;11,60;32,38;30,88
337;11,62;32,38;30,88
338;11,67;32,38;30,88
339;11,69;32,38;30,88
340;11,73;32,38;30,88
341;11,75;32,38;30,88
342;11,80;29,49;33,91
343;11,82;29,49;33,91
344;11,87;29,49;33,91
345;11,88;29,49;33,91
346;11,93;29,49;33,91
347;11,95;29,49;33,91
348;11,99;29,49;33,91
349;12,01;29,49;33,91
350;12,07;29,49;33,91
351;12,09;29,49;33,91
352;12,14;29,44;33,97
353;12,16;29,44;33,97
354;12,19;29,44;33,97
355;12,20;29,44;33,97
356;12,25;29,44;33,97
357;12,27;29,44;33,97
358;12,32;29,44;33,97
359;12,34;29,44;33,97
360;12,38;29,44;33,97
361;12,40;29,44;33,97
362;12,45;29,44;33,97
363;12,47;29,44;33,97
364;12,51;32,26;31,00
365;12,53;32,26;31,00
366;12,58;32,26;31,00
367;12,60;32,26;31,00
368;12,64;32,26;31,00
369;12,66;32,26;31,00
370;12,71;32,26;31,00
371;12,73;32,26;31,00
372;12,77;32,26;31,00
373;12,79;32,26;31,00
374;12,84;32,26;31,00
375;12,86;31,79;31,46
376;12,90;31,79;31,46
377;12,92;31,79;31,46
378;12,97;31,79;31,46
379;12,99;31,79;31,46
380;13,04;31,79;31,46
381;13,05;31,79;31,46
382;13,09;31,79;31,46
383;13,11;31,79;31,46
384;13,16;31,79;31,46
385;13,18;31,79;31,46
386;13,23;29,69;33,68
387;13,25;29,69;33,68
388;13,29;29,69;33,68
389;13,31;29,69;33,68
390;13,36;29,69;33,68
391;13,38;29,69;33,68
392;13,43;29,69;33,68
393;13,44;29,69;33,68
394;13,49;29,69;33,68
395;13,51;29,69;33,68
396;13,55;29,69;33,68
397;13,57;32,50;30,77
398;13,69;32,50;30,77
399;13,71;32,50;30,77
400;13,78;32,50;30,77
401;13,80;32,50;30,77
402;13,83;32,50;30,77
403;13,85;32,50;30,77
404;13,93;19,23;51,99
405;13,96;19,23;51,99
406;14,04;19,23;51,99
407;14,06;19,23;51,99
408;14,14;19,23;51,99
409;14,16;19,23;51,99
410;14,19;19,23;51,99
411;14,21;19,23;51,99
412;14,23;19,23;51,99
413;14,26;19,23;51,99
414;14,28;28,35;35,27
415;14,30;28,35;35,27
416;14,34;28,35;35,27
417;14,35;28,35;35,27
418;14,41;28,35;35,27
419;14,42;28,35;35,27
420;14,47;28,35;35,27
421;14,48;28,35;35,27
422;14,53;28,35;35,27
423;14,54;28,35;35,27
424;14,60;28,35;35,27
425;14,61;28,35;35,27
426;14,66;31,85;31,40
427;14,67;31,85;31,40
428;14,73;31,85;31,40
429;14,79;31,85;31,40
430;14,86;31,85;31,40
431;14,86;31,85;31,40
432;14,88;31,85;31,40
433;14,88;31,85;31,40
434;14,92;31,85;31,40
435;14,98;31,85;31,40
436;15,04;26,57;37,64
437;15,10;26,57;37,64
438;15,12;26,57;37,64
439;15,12;26,57;37,64
440;15,13;26,57;37,64
441;15,18;26,57;37,64
442;15,19;26,57;37,64
443;15,20;26,57;37,64
444;15,25;26,57;37,64
445;15,25;26,57;37,64
446;15,31;26,57;37,64
447;15,32;26,57;37,64
