Frame;Time(s);FPS;FrameTimeMs
16;0,36;40,86;24,47
17;0,38;40,86;24,47
18;0,40;40,86;24,47
19;0,41;40,86;24,47
20;0,44;40,86;24,47
21;0,45;40,86;24,47
22;0,48;40,86;24,47
23;0,49;40,86;24,47
24;0,51;40,86;24,47
25;0,53;40,86;24,47
26;0,55;40,86;24,47
27;0,56;40,86;24,47
28;0,59;40,86;24,47
29;0,60;40,86;24,47
30;0,63;40,86;24,47
31;0,64;40,86;24,47
32;0,67;40,86;24,47
33;0,68;40,86;24,47
34;0,71;52,45;19,07
35;0,72;52,45;19,07
36;0,74;52,45;19,07
37;0,76;52,45;19,07
38;0,78;52,45;19,07
39;0,79;52,45;19,07
40;0,82;52,45;19,07
41;0,83;52,45;19,07
42;0,86;52,45;19,07
43;0,87;52,45;19,07
44;0,89;52,45;19,07
45;0,91;52,45;19,07
46;0,93;52,45;19,07
47;0,94;52,45;19,07
48;0,97;52,45;19,07
49;0,98;52,45;19,07
50;1,01;52,45;19,07
51;1,02;52,45;19,07
52;1,05;52,71;18,97
53;1,06;52,71;18,97
54;1,08;52,71;18,97
55;1,09;52,71;18,97
56;1,12;52,71;18,97
57;1,13;52,71;18,97
58;1,17;52,71;18,97
59;1,18;52,71;18,97
60;1,20;52,71;18,97
61;1,21;52,71;18,97
62;1,24;52,71;18,97
63;1,26;52,71;18,97
64;1,29;52,71;18,97
65;1,30;52,71;18,97
66;1,32;52,71;18,97
67;1,33;52,71;18,97
68;1,37;52,71;18,97
69;1,39;49,84;20,06
70;1,41;49,84;20,06
71;1,42;49,84;20,06
72;1,44;49,84;20,06
73;1,45;49,84;20,06
74;1,48;49,84;20,06
75;1,49;49,84;20,06
76;1,52;49,84;20,06
77;1,54;49,84;20,06
78;1,56;49,84;20,06
79;1,57;49,84;20,06
80;1,60;49,84;20,06
81;1,61;49,84;20,06
82;1,64;49,84;20,06
83;1,65;49,84;20,06
84;1,67;49,84;20,06
85;1,68;49,84;20,06
86;1,72;49,84;20,06
87;1,73;52,74;18,96
88;1,75;52,74;18,96
89;1,77;52,74;18,96
90;1,79;52,74;18,96
91;1,80;52,74;18,96
92;1,82;52,74;18,96
93;1,84;52,74;18,96
94;1,87;52,74;18,96
95;1,89;52,74;18,96
96;1,91;52,74;18,96
97;1,93;52,74;18,96
98;1,95;52,74;18,96
99;1,97;52,74;18,96
100;1,98;52,74;18,96
101;2,00;52,74;18,96
102;2,01;52,74;18,96
103;2,03;52,74;18,96
104;2,05;52,74;18,96
105;2,07;53,34;18,75
106;2,09;53,34;18,75
107;2,10;53,34;18,75
108;2,12;53,34;18,75
109;2,14;53,34;18,75
110;2,16;53,34;18,75
111;2,17;53,34;18,75
112;2,20;53,34;18,75
113;2,21;53,34;18,75
114;2,23;53,34;18,75
115;2,25;53,34;18,75
116;2,27;53,34;18,75
117;2,29;53,34;18,75
118;2,31;53,34;18,75
119;2,32;53,34;18,75
120;2,34;53,34;18,75
121;2,36;53,34;18,75
122;2,38;53,34;18,75
123;2,39;53,34;18,75
124;2,42;54,40;18,38
125;2,43;54,40;18,38
126;2,45;54,40;18,38
127;2,46;54,40;18,38
128;2,49;54,40;18,38
129;2,50;54,40;18,38
130;2,53;54,40;18,38
131;2,54;54,40;18,38
132;2,55;54,40;18,38
133;2,57;54,40;18,38
134;2,59;54,40;18,38
