RunID,Mode,AllocatedRam max (MB),AllocatedRam average (MB),MonoRam max (MB),MonoRam average (MB)
1,ModeA,1151.74,1088.08,799.92,733.73
2,ModeA,1149.72,1086.13,791.7,747.49
3,ModeA,1140.42,1095.01,792.36,738.77
4,ModeA,1135.83,1085.63,811.02,742.29
5,ModeA,1142.33,1088.21,793.15,743.62
6,ModeB,1147.19,1090.64,829.63,762.46
7,ModeB,1149.3,1101.05,823.22,766.5
8,ModeB,1150.16,1088.15,841.37,764.01
9,ModeB,1165.95,1093.01,824.04,757.04
10,ModeB,1151.51,1090.36,833.38,759.73
11,ModeC,897.82,896.03,805.22,745.74
12,ModeC,889.58,894.94,798.17,734.37
13,ModeC,887.68,894.12,807.65,744.1
14,ModeC,890.43,899.96,796.94,750.71
15,ModeC,889.9,894.31,808.17,745.26
